dtm_name,image_id1,image_id2,url
DTEPD_014027_0940_013830_0940_A01,ESP_014027_0940,ESP_013830_0940,https://www.uahirise.org/PDS/DTM/ESP/ORB_014000_014099/ESP_014027_0940_ESP_013830_0940/
DTEED_014081_1440_014147_1440_A01,ESP_014081_1440,ESP_014147_1440,https://www.uahirise.org/PDS/DTM/ESP/ORB_014000_014099/ESP_014081_1440_ESP_014147_1440/
DTEEC_014096_1975_020043_1975_A01,ESP_014096_1975,ESP_020043_1975,https://www.uahirise.org/PDS/DTM/ESP/ORB_014000_014099/ESP_014096_1975_ESP_020043_1975/
DTEED_014114_1665_005148_1665_A01,PSP_014114_1665,ESP_005148_1665,https://www.uahirise.org/PDS/DTM/ESP/ORB_014100_014199/ESP_014114_1665_PSP_005148_1665/
DTEEC_014153_1430_014008_1430_A01,ESP_014153_1430,ESP_014008_1430,https://www.uahirise.org/PDS/DTM/ESP/ORB_014100_014199/ESP_014153_1430_ESP_014008_1430/
DTEEC_014186_1745_020410_1745_A01,ESP_014186_1745,ESP_020410_1745,https://www.uahirise.org/PDS/DTM/ESP/ORB_014100_014199/ESP_014186_1745_ESP_020410_1745/
DTEPC_014281_0980_014255_0980_A01,ESP_014281_0980,ESP_014255_0980,https://www.uahirise.org/PDS/DTM/ESP/ORB_014200_014299/ESP_014281_0980_ESP_014255_0980/
DTEEC_014327_1675_013971_1675_A01,ESP_014327_1675,ESP_013971_1675,https://www.uahirise.org/PDS/DTM/ESP/ORB_014300_014399/ESP_014327_1675_ESP_013971_1675/
DTEEC_014335_1450_014058_1450_A01,ESP_014335_1450,ESP_014058_1450,https://www.uahirise.org/PDS/DTM/ESP/ORB_014300_014399/ESP_014335_1450_ESP_014058_1450/
DTEPD_014360_0985_022694_0985_A01,ESP_014360_0985,ESP_022694_0985,https://www.uahirise.org/PDS/DTM/ESP/ORB_014300_014399/ESP_014360_0985_ESP_022694_0985/
DTEED_015943_1390_006845_1390_A01,PSP_015943_1390,ESP_006845_1390,https://www.uahirise.org/PDS/DTM/ESP/ORB_015900_015999/ESP_015943_1390_PSP_006845_1390/
DTEEC_015947_1370_051036_1370_A01,ESP_015947_1370,ESP_051036_1370,https://www.uahirise.org/PDS/DTM/ESP/ORB_015900_015999/ESP_015947_1370_ESP_051036_1370/
DTEEC_015985_2040_016262_2040_U01,ESP_015985_2040,ESP_016262_2040,https://www.uahirise.org/PDS/DTM/ESP/ORB_015900_015999/ESP_015985_2040_ESP_016262_2040/
DTEEC_015999_1535_016276_1535_U01,ESP_015999_1535,ESP_016276_1535,https://www.uahirise.org/PDS/DTM/ESP/ORB_015900_015999/ESP_015999_1535_ESP_016276_1535/
DTEEC_016004_1425_006906_1425_A01,PSP_016004_1425,ESP_006906_1425,https://www.uahirise.org/PDS/DTM/ESP/ORB_016000_016099/ESP_016004_1425_PSP_006906_1425/
DTEEC_016034_1835_017089_1835_A01,ESP_016034_1835,ESP_017089_1835,https://www.uahirise.org/PDS/DTM/ESP/ORB_016000_016099/ESP_016034_1835_ESP_017089_1835/
DTEEC_016047_1920_007740_1920_A01,PSP_016047_1920,ESP_007740_1920,https://www.uahirise.org/PDS/DTM/ESP/ORB_016000_016099/ESP_016047_1920_PSP_007740_1920/
DTEEC_016058_1740_006894_1740_A01,PSP_016058_1740,ESP_006894_1740,https://www.uahirise.org/PDS/DTM/ESP/ORB_016000_016099/ESP_016058_1740_PSP_006894_1740/
DTEEC_016065_1560_016210_1560_U01,ESP_016065_1560,ESP_016210_1560,https://www.uahirise.org/PDS/DTM/ESP/ORB_016000_016099/ESP_016065_1560_ESP_016210_1560/
DTEEC_016183_1770_016816_1770_A01,ESP_016183_1770,ESP_016816_1770,https://www.uahirise.org/PDS/DTM/ESP/ORB_016100_016199/ESP_016183_1770_ESP_016816_1770/
DTEEC_016213_2315_016714_2315_A01,ESP_016213_2315,ESP_016714_2315,https://www.uahirise.org/PDS/DTM/ESP/ORB_016200_016299/ESP_016213_2315_ESP_016714_2315/
DTEEC_016221_2175_016076_2175_U01,ESP_016221_2175,ESP_016076_2175,https://www.uahirise.org/PDS/DTM/ESP/ORB_016200_016299/ESP_016221_2175_ESP_016076_2175/
